timestamp,SYM00,SYM01,SYM02,SYM03,SYM04,SYM05
2021-01-04 00:00:00+00:00,27.8412,100.9532,176.149,184.0247,85.5873,178.6933
2021-01-05 00:00:00+00:00,28.3247,100.6284,178.0559,178.0428,87.3814,179.2925
2021-01-06 00:00:00+00:00,28.3872,100.2333,176.7989,179.9015,88.2862,178.3263
2021-01-07 00:00:00+00:00,28.5335,101.881,174.9759,176.3721,88.8123,176.3485
2021-01-08 00:00:00+00:00,27.655,99.9823,174.7584,172.9962,87.3287,175.7087
2021-01-11 00:00:00+00:00,28.0242,100.2928,172.8507,173.8459,88.0794,176.3857
2021-01-12 00:00:00+00:00,28.3893,101.8338,171.6332,171.9018,88.1121,175.6865
2021-01-13 00:00:00+00:00,28.6058,99.5007,170.1528,169.7796,86.3026,176.965
2021-01-14 00:00:00+00:00,29.0994,98.4247,174.1655,172.7747,87.0755,177.5011
2021-01-15 00:00:00+00:00,29.409,96.9199,175.0849,174.1459,85.2018,178.6886
2021-01-18 00:00:00+00:00,29.2768,97.5885,174.3953,173.046,85.6526,177.3934
2021-01-19 00:00:00+00:00,29.5265,98.0832,176.3387,172.8707,86.7662,178.492
2021-01-20 00:00:00+00:00,29.464,98.3807,179.2017,177.5135,84.5862,181.5164
2021-01-21 00:00:00+00:00,29.7296,98.8274,176.513,181.1706,83.0368,181.9643
2021-01-22 00:00:00+00:00,30.2109,95.8838,175.8065,176.6066,83.4521,186.9488
2021-01-25 00:00:00+00:00,31.1043,93.5783,173.3029,178.219,85.0617,188.3354
2021-01-26 00:00:00+00:00,31.0354,94.5335,174.2227,177.9506,84.5533,188.7395
2021-01-27 00:00:00+00:00,30.9529,94.5417,173.2149,175.7118,84.1158,191.821
2021-01-28 00:00:00+00:00,30.8949,92.2305,177.4353,175.7691,86.8128,193.3761
2021-01-29 00:00:00+00:00,30.8227,90.6155,180.093,184.0129,85.1661,191.1982
2021-02-01 00:00:00+00:00,31.0874,89.0068,180.3083,182.6153,86.1791,194.0599
2021-02-02 00:00:00+00:00,31.2206,90.461,178.1419,183.6949,83.3306,189.5006
2021-02-03 00:00:00+00:00,31.3625,89.5047,180.6964,184.4684,84.5235,192.1068
2021-02-04 00:00:00+00:00,32.1068,89.3583,178.1758,182.5375,83.7911,188.7309
2021-02-05 00:00:00+00:00,31.8047,89.1795,178.6611,181.7164,81.6382,188.8552
2021-02-08 00:00:00+00:00,31.9641,90.36,180.8443,180.4454,80.6089,194.2661
2021-02-09 00:00:00+00:00,32.215,92.7551,187.1762,177.5063,81.2752,196.0508
2021-02-10 00:00:00+00:00,32.7686,93.3745,187.5948,178.2261,79.0177,197.0085
2021-02-11 00:00:00+00:00,32.2653,93.3143,187.1038,179.8993,80.1845,196.475
2021-02-12 00:00:00+00:00,32.5908,93.4787,185.6395,179.8664,79.4714,198.7007
2021-02-15 00:00:00+00:00,32.5847,94.2606,181.9707,181.8668,78.6089,196.8045
2021-02-16 00:00:00+00:00,32.5422,93.6514,181.7578,181.4311,76.9644,194.2896
2021-02-17 00:00:00+00:00,32.9802,93.7565,178.6977,180.7131,75.3315,199.5242
2021-02-18 00:00:00+00:00,32.3561,94.1237,180.74,177.8485,76.0134,202.8035
2021-02-19 00:00:00+00:00,32.6981,94.0204,184.0811,177.2094,75.593,202.2143
2021-02-22 00:00:00+00:00,32.8775,93.3776,186.5678,176.9278,74.7505,205.1446
2021-02-23 00:00:00+00:00,34.0235,94.8707,183.8495,178.5484,73.953,204.268
2021-02-24 00:00:00+00:00,33.8996,90.9126,185.518,175.5106,73.4785,200.3023
2021-02-25 00:00:00+00:00,33.3462,90.0697,188.0918,179.9137,73.1883,203.6348
2021-02-26 00:00:00+00:00,33.0392,87.78,189.2536,182.1313,72.2329,204.0682
