timestamp,SYM00,SYM01,SYM02,SYM03,SYM04,SYM05
2021-01-04 00:00:00+00:00,2819964.0,3329240.0,4403431.0,2566150.0,1188976.0,1474765.0
2021-01-05 00:00:00+00:00,1345632.0,1488546.0,4313345.0,1181244.0,3861422.0,1681410.0
2021-01-06 00:00:00+00:00,1916718.0,1982331.0,3057965.0,3541163.0,3366809.0,3320671.0
2021-01-07 00:00:00+00:00,1492860.0,3362156.0,1361942.0,4288036.0,1255400.0,1380551.0
2021-01-08 00:00:00+00:00,1769055.0,2555608.0,4379483.0,1317172.0,1764638.0,2675072.0
2021-01-11 00:00:00+00:00,1906620.0,1315176.0,3237975.0,1265378.0,3860855.0,1417010.0
2021-01-12 00:00:00+00:00,2761436.0,2559556.0,4001203.0,4052413.0,2892956.0,2127650.0
2021-01-13 00:00:00+00:00,4440520.0,3967225.0,2032946.0,1933144.0,4513992.0,2148861.0
2021-01-14 00:00:00+00:00,1578970.0,2885713.0,3246513.0,1299921.0,4727480.0,2795499.0
2021-01-15 00:00:00+00:00,3543533.0,3334283.0,4681060.0,4298299.0,2572636.0,1224642.0
2021-01-18 00:00:00+00:00,3522020.0,4199663.0,4404444.0,3278634.0,3168745.0,3313337.0
2021-01-19 00:00:00+00:00,1593487.0,1204337.0,2853662.0,4519525.0,2183947.0,2109331.0
2021-01-20 00:00:00+00:00,4979515.0,3185902.0,1366688.0,3154501.0,1138074.0,4640311.0
2021-01-21 00:00:00+00:00,4161606.0,3405663.0,4922961.0,4965430.0,2487698.0,1928580.0
2021-01-22 00:00:00+00:00,2101353.0,3648682.0,1986869.0,3307315.0,2993519.0,3054143.0
2021-01-25 00:00:00+00:00,4137709.0,3510482.0,3177388.0,3202372.0,2568148.0,2347331.0
2021-01-26 00:00:00+00:00,4308006.0,3566316.0,2467403.0,1333566.0,4232583.0,2916077.0
2021-01-27 00:00:00+00:00,4141278.0,2811287.0,3617970.0,1852921.0,1724157.0,3272353.0
2021-01-28 00:00:00+00:00,3996652.0,3679677.0,3783717.0,1500052.0,4024571.0,2187930.0
2021-01-29 00:00:00+00:00,3230914.0,1248100.0,1542414.0,3388649.0,4844447.0,1326736.0
2021-02-01 00:00:00+00:00,1754165.0,1917607.0,3829963.0,2791461.0,4184287.0,2806965.0
2021-02-02 00:00:00+00:00,4643786.0,1131947.0,3277543.0,4789302.0,3983648.0,1920138.0
2021-02-03 00:00:00+00:00,1700593.0,3439884.0,1401473.0,1888827.0,3117454.0,3383102.0
2021-02-04 00:00:00+00:00,4563274.0,2410988.0,1951497.0,2274345.0,3324847.0,2897592.0
2021-02-05 00:00:00+00:00,1131084.0,3345277.0,4053803.0,3392742.0,3096819.0,3753994.0
2021-02-08 00:00:00+00:00,3053678.0,2074344.0,1599265.0,1366410.0,2594494.0,2013404.0
2021-02-09 00:00:00+00:00,3701789.0,2306801.0,3222602.0,3429494.0,3954737.0,2657538.0
2021-02-10 00:00:00+00:00,2441374.0,2245047.0,3685241.0,1393371.0,3583307.0,3386552.0
2021-02-11 00:00:00+00:00,1903421.0,1439898.0,2358445.0,3067579.0,2007114.0,3753439.0
2021-02-12 00:00:00+00:00,3467159.0,3492393.0,2542933.0,1638886.0,2969341.0,2423846.0
2021-02-15 00:00:00+00:00,4244678.0,4763736.0,1115276.0,1363093.0,2830352.0,3715039.0
2021-02-16 00:00:00+00:00,1469077.0,2745627.0,2845178.0,3454010.0,4150100.0,2574879.0
2021-02-17 00:00:00+00:00,1359874.0,1495141.0,3675863.0,3249580.0,4747464.0,1024422.0
2021-02-18 00:00:00+00:00,4756741.0,4456184.0,4074465.0,4194970.0,1593273.0,2495038.0
2021-02-19 00:00:00+00:00,1550180.0,3149402.0,2682897.0,3110008.0,4159033.0,4918690.0
2021-02-22 00:00:00+00:00,4437929.0,1174888.0,2865907.0,2190734.0,3494187.0,2628090.0
2021-02-23 00:00:00+00:00,2749748.0,4149660.0,4132937.0,3920049.0,2118383.0,2693444.0
2021-02-24 00:00:00+00:00,2756559.0,1046770.0,3266299.0,3591775.0,1000470.0,2627004.0
2021-02-25 00:00:00+00:00,1871920.0,1467244.0,4811160.0,3524018.0,4795782.0,2779609.0
2021-02-26 00:00:00+00:00,1265825.0,2225618.0,1246662.0,2076595.0,3609763.0,3083279.0
